0;184;2;399.44;lose;454.25;2025-10-13;[1.39, 1.27, 2.42]
1;3;8;383.4;lose;650.41;2025-09-14;[1.19, 2.03, 2.4]
2;205;8;98.23;push;103.37;2025-12-05;[1.14, 1.72, 1.93]
3;130;3;163.68;win;371.41;2025-01-07;[2.59, 1.47, 2.6]
4;243;6;142.72;push;187.89;2025-10-28;[2.56, 2.12, 2.38]
5;75;6;266.48;push;105.77;2025-04-15;[2.66, 1.85, 2.15]
6;46;1;499.18;push;205.39;2025-09-16;[1.98, 1.67, 1.7]
7;113;4;402.92;win;743.04;2025-06-10;[1.34, 1.85, 1.37]
8;205;8;63.24;win;7.24;2025-07-24;[1.97, 2.54, 1.86]
9;94;5;189.91;push;305.31;2025-11-04;[2.66, 2.44, 2.47]
10;195;4;242.08;win;586.05;2025-01-02;[2.15, 1.27, 2.16]
11;211;1;228.21;push;421.97;2025-07-27;[1.75, 1.56, 1.85]
12;54;5;96.27;push;39.19;2025-03-22;[2.06, 2.53, 2.01]
13;187;7;455.96;lose;146.52;2025-11-01;[2.28, 1.24, 2.14]
14;214;4;424.97;win;200.65;2025-12-03;[2.02, 1.64, 1.69]
15;78;9;38.26;win;50.94;2025-09-11;[1.99, 2.61, 2.42]
16;232;2;249.31;lose;282.77;2025-06-27;[1.76, 1.55, 1.17]
17;14;7;4.47;win;9.7;2025-07-14;[1.68, 1.36, 2.64]
18;179;8;311.12;push;266.07;2025-09-25;[2.01, 2.32, 1.26]
19;130;6;81.06;push;37.22;2025-02-05;[2.02, 1.45, 1.1]
20;167;7;146.06;lose;118.37;2025-02-12;[1.62, 1.44, 2.49]
21;167;5;440.47;lose;1012.75;2025-09-02;[1.99, 2.06, 1.55]
22;119;3;454.77;lose;385.87;2025-06-24;[1.17, 2.51, 1.31]
23;80;6;442.31;lose;648.56;2025-07-11;[2.05, 2.58, 1.31]
24;10;3;376.8;lose;639.31;2025-03-15;[2.62, 2.47, 2.67]
25;49;5;231.05;lose;420.5;2025-09-16;[2.38, 1.65, 1.39]
26;62;8;170.4;push;27.67;2025-11-26;[1.48, 2.06, 1.25]
27;25;4;456.46;push;277.45;2025-06-24;[1.25, 1.12, 1.93]
28;226;3;345.32;lose;816.84;2025-03-14;[1.38, 2.68, 2.34]
29;142;3;437.16;push;97.14;2025-01-11;[2.24, 2.16, 2.21]
30;185;9;102.86;push;195.71;2025-04-21;[2.5, 1.7, 1.19]
31;242;6;275.15;push;439.44;2025-04-28;[1.98, 1.14, 2.31]
32;28;9;127.24;push;227.64;2025-03-03;[2.38, 2.45, 1.84]
33;60;3;109.23;push;66.08;2025-04-10;[2.5, 1.63, 1.16]
34;105;5;153.68;lose;200.71;2025-04-24;[1.62, 1.93, 1.73]
35;69;5;190.43;push;318.43;2025-10-25;[2.67, 1.94, 2.1]
36;211;7;407.06;win;802.74;2025-12-06;[2.19, 2.0, 2.35]
37;54;6;337.62;push;132.13;2025-05-19;[1.78, 1.79, 2.42]
38;229;5;29.51;win;11.75;2025-09-19;[2.44, 2.56, 1.51]
39;138;2;485.72;push;936.24;2025-09-28;[1.95, 2.26, 1.22]
40;207;2;86.3;push;162.24;2025-06-02;[2.49, 2.41, 1.93]
41;96;7;498.18;win;292.47;2025-08-16;[2.56, 2.13, 1.36]
42;99;3;2.74;win;6.29;2025-08-23;[2.52, 1.33, 2.58]
43;89;8;481.73;push;469.17;2025-02-26;[2.22, 2.43, 1.72]
44;166;2;430.16;win;998.67;2025-06-11;[1.75, 1.56, 1.36]
45;196;3;140.21;win;133.6;2025-08-12;[2.56, 1.8, 2.39]
46;213;3;360.59;push;854.09;2025-09-14;[1.47, 2.49, 2.53]
47;121;4;206.86;push;142.74;2025-02-12;[1.34, 1.82, 2.17]
48;62;9;234.05;lose;435.86;2025-12-19;[1.74, 1.37, 2.58]
49;43;4;307.86;push;611.93;2025-01-06;[2.53, 1.89, 1.29]
50;68;8;380.08;lose;597.02;2025-04-07;[2.26, 1.62, 1.17]
51;51;3;487.55;win;884.6;2025-11-10;[1.35, 2.32, 1.45]
52;132;8;354.98;lose;588.88;2025-05-28;[1.61, 1.14, 2.16]
53;241;2;257.9;lose;394.76;2025-10-25;[2.66, 1.25, 1.76]
54;138;7;365.3;push;845.37;2025-06-02;[1.29, 2.6, 2.51]
55;207;5;192.15;push;76.47;2025-07-08;[1.99, 1.38, 1.43]
56;230;6;479.0;push;469.64;2025-02-26;[2.63, 2.34, 1.47]
57;193;2;89.31;push;114.36;2025-03-05;[1.14, 1.3, 1.27]
58;108;8;195.17;push;366.86;2025-08-13;[1.26, 1.82, 2.33]
59;58;2;434.56;push;95.8;2025-04-19;[2.2, 2.07, 1.89]
60;241;5;354.48;lose;699.09;2025-07-18;[1.13, 1.86, 2.61]
61;125;5;194.1;lose;294.17;2025-06-16;[1.58, 1.22, 2.35]
62;147;1;122.58;push;45.19;2025-12-25;[1.85, 1.9, 1.47]
63;6;2;38.92;win;17.94;2025-01-18;[1.95, 2.17, 1.57]
64;147;1;378.22;push;393.11;2025-07-09;[1.55, 2.59, 1.95]
65;156;9;463.67;win;346.62;2025-11-21;[2.36, 1.18, 1.14]
66;87;2;489.43;push;686.92;2025-06-09;[1.8, 1.69, 1.48]
67;137;3;142.29;win;302.12;2025-12-27;[1.62, 1.3, 1.6]
68;243;2;190.79;win;425.26;2025-06-25;[2.26, 2.64, 1.19]
69;22;3;344.75;win;318.25;2025-12-28;[2.47, 1.53, 1.39]
70;101;9;19.33;push;3.07;2025-11-19;[1.96, 2.4, 2.44]
71;62;4;374.7;lose;791.79;2025-09-15;[2.4, 2.12, 1.92]
72;105;9;289.9;push;628.21;2025-11-11;[1.5, 2.53, 1.5]
73;114;1;221.33;win;514.09;2025-09-22;[1.67, 2.36, 2.3]
74;138;2;188.81;win;438.49;2025-08-24;[1.61, 1.48, 1.15]
75;131;9;102.36;push;63.26;2025-11-15;[1.91, 1.65, 2.0]
76;3;1;448.59;push;739.0;2025-09-18;[1.56, 2.65, 2.5]
77;213;6;198.49;win;163.64;2025-09-16;[1.53, 2.41, 1.51]
78;58;7;336.39;push;255.81;2025-09-28;[2.38, 1.19, 1.91]
79;40;8;59.51;push;82.48;2025-02-09;[1.52, 2.19, 2.3]
80;50;9;302.35;push;110.27;2025-02-04;[2.39, 1.2, 1.38]
81;111;1;121.15;push;226.83;2025-02-14;[2.56, 1.91, 1.3]
82;216;5;260.8;win;149.49;2025-07-28;[2.11, 2.24, 1.39]
